Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	stationaryDist[1]	stationaryDist[2]	tree_length
360	-421.0104	-428.6663	7.655913	0.0971781	0.00188448	0.0110621	0.0225965	0.00312643	0.0031709	0.00565564	0.040224	0.020432	0.0223305	0.0669346	0.0176593	0.00156931	0.0780739	0.0249327	0.2817549	1.718245	0.114011	0.346794	0.718639	1.39152	2.88356	8.77105	1.570113	6.098367	0.233136	0.00452099	0.0265386	0.0542102	0.00750048	0.00760718	0.0135682	0.0964996	0.0490175	0.0535721	0.16058	0.0423656	0.00376486	0.187304	0.0598149	0.859123	0.140877	0.4168303
396	-422.2832	-428.3545	6.071228	0.0258739	0.0165384	0.0295457	2.87419e-06	0.00309534	0.00340502	0.00167214	0.00948288	0.0134725	0.00570423	0.0537137	0.00516642	0.00863607	0.024249	0.0355433	0.1781984	1.821802	0.0501279	0.232287	0.634179	1.57684	4.30501	19.949	2.164273	10.22344	0.109588	0.0700478	0.12514	1.21735e-05	0.0131102	0.0144219	0.00708229	0.0401644	0.0570625	0.0241601	0.227503	0.0218822	0.0365778	0.102706	0.150542	0.910901	0.0890992	0.2361016
432	-427.2327	-427.1857	-0.04698247	0.00961769	0.003585	0.00509329	0.00226904	0.000595196	0.000584064	0.00113669	0.00687649	0.0018814	0.000137227	0.00842818	0.00263375	0.00356935	0.00779287	0.00111577	0.02077926	1.979221	0.0149036	0.128561	0.527301	1.89645	7.77841	67.098	3.041339	95.24983	0.173868	0.0648094	0.0920762	0.0410196	0.0107599	0.0105587	0.020549	0.124313	0.0340119	0.00248078	0.152364	0.0476128	0.0645265	0.140879	0.0201708	0.98961	0.0103896	0.05531601
468	-420.3357	-426.8945	6.558739	0.0488461	0.000840772	0.0127468	0.000606072	0.00228093	0.00229041	0.00245452	0.0502203	0.0311466	0.0053592	0.0312277	0.0147316	0.00757174	0.0163156	0.0288096	0.192919	1.807081	0.0769695	0.286322	0.676938	1.47724	3.49257	12.9922	1.854199	9.367047	0.191217	0.00329136	0.0498999	0.00237258	0.00892913	0.00896623	0.0096087	0.196597	0.121929	0.0209796	0.122247	0.0576696	0.029641	0.0638707	0.112781	0.903541	0.0964595	0.255448
504	-426.4073	-434.3607	7.953347	0.11963	0.0696721	0.0402345	0.0954628	0.00309388	0.0111361	0.00302053	0.0458834	0.00257951	0.0634873	0.01771	0.0971198	0.00281601	0.116825	0.0139776	0.2713848	1.728615	0.201092	0.457366	0.783445	1.27641	2.18643	4.97284	1.159796	6.369609	0.170256	0.0991563	0.0572612	0.135861	0.00440317	0.0158488	0.00429878	0.0653006	0.00367112	0.0903543	0.0252047	0.13822	0.00400771	0.166264	0.0198927	0.864308	0.135692	0.7026487
540	-422.2654	-429.7418	7.476367	0.11855	0.0481728	0.0243998	0.0254423	0.00490684	0.00491328	0.00573583	0.0699209	0.0499733	0.0115629	0.0283371	0.12487	0.03606	0.133075	0.0222095	0.1977229	1.802277	0.220485	0.47837	0.794497	1.25866	2.09043	4.53546	1.093227	9.115169	0.167413	0.0680282	0.0344567	0.0359289	0.00692929	0.0069384	0.00809997	0.0987402	0.0705708	0.0163288	0.0400168	0.176338	0.0509228	0.187925	0.0313637	0.901139	0.0988614	0.7081298
576	-416.8684	-424.6545	7.786067	0.0859974	0.0390378	0.06034	0.00565535	0.00447103	0.0092656	0.00103452	0.0493653	0.0620608	0.0259466	0.0428351	0.103733	0.0226107	0.135345	0.00814911	0.2620154	1.737985	0.167435	0.418281	0.761912	1.31249	2.39074	5.97246	1.292239	6.633139	0.131124	0.0595226	0.0920031	0.00862296	0.00681717	0.0141277	0.00157737	0.0752694	0.0946268	0.039562	0.0653125	0.158167	0.0344756	0.206367	0.0124253	0.868992	0.131008	0.6558477
612	-422.8956	-430.9012	8.005587	0.0690448	0.0245544	0.0491802	0.00649507	0.0037241	0.00853155	0.000397867	0.00159505	0.0287489	0.0192029	0.0141763	0.0249054	0.0107178	0.101298	0.0484623	0.3436332	1.656367	0.116799	0.350904	0.721285	1.38641	2.84978	8.56168	1.552643	4.82016	0.167978	0.059738	0.11965	0.0158018	0.00906032	0.0207563	0.000967966	0.00388057	0.0699429	0.0467184	0.0344894	0.0605921	0.0260753	0.246446	0.117903	0.828183	0.171817	0.4110343
648	-421.5766	-427.2048	5.628209	0.04559	0.0197265	0.0541793	0.000249785	0.00722755	0.00222791	0.000240201	0.0225245	0.0255803	0.0286869	0.0385262	0.0365391	0.0294322	0.0823547	0.0214978	0.1004895	1.899511	0.083616	0.298125	0.685523	1.45874	3.3543	11.9594	1.79431	18.90258	0.109966	0.0475815	0.130684	0.000602498	0.0174333	0.00537387	0.00057938	0.0543304	0.0617013	0.0691945	0.0929277	0.0881346	0.0709923	0.198645	0.0518542	0.949755	0.0502447	0.4145828
684	-421.2668	-428.8025	7.535717	0.106502	0.00232005	0.028767	0.00289488	0.0125462	0.00116064	0.0079423	0.058993	0.122523	0.0123049	0.0595285	0.112133	0.0264764	0.120862	0.0349507	0.2302085	1.769792	0.167119	0.417896	0.761693	1.31286	2.39294	5.98376	1.293605	7.687778	0.150023	0.00326812	0.0405223	0.00407784	0.017673	0.00163493	0.0111878	0.0830999	0.17259	0.0173331	0.0838542	0.157956	0.0372958	0.170251	0.049233	0.884896	0.115104	0.7099049
720	-424.4416	-431.4463	7.004709	0.0436193	0.00321793	0.00706302	0.00304064	0.00659765	0.0118446	0.0134138	0.059562	0.0129273	0.00781538	0.027231	0.0885799	0.0239182	0.12233	0.0198136	0.1887866	1.811213	0.117524	0.351964	0.721965	1.38511	2.8412	8.5089	1.548172	9.59397	0.0967225	0.00713552	0.0156617	0.00674238	0.0146298	0.0262644	0.029744	0.132074	0.0286653	0.01733	0.0603827	0.196419	0.0530369	0.271256	0.0439351	0.905607	0.0943933	0.4509738
756	-420.7127	-428.9493	8.236558	0.0812624	0.0153143	0.0260848	0.010229	0.00188349	0.0149355	0.0192932	0.0368933	0.0107423	0.0243622	0.0293185	0.0642662	0.0474304	0.0737935	0.021321	0.3674416	1.632558	0.134379	0.375738	0.736838	1.35715	2.66143	7.44164	1.451265	4.443042	0.170315	0.0320967	0.0546702	0.0214387	0.00394753	0.0313027	0.0404359	0.0773234	0.0225144	0.0510598	0.0614477	0.134693	0.0994077	0.154661	0.044686	0.816279	0.183721	0.4771302
792	-421.5608	-429.7175	8.156733	0.0836022	0.0285769	0.0398775	0.0179216	0.00047217	0.00984586	0.00370962	0.0613807	0.0449579	0.0063864	0.0152389	0.0584643	0.019322	0.128705	0.00320415	0.3308281	1.669172	0.153581	0.401029	0.751966	1.32985	2.49359	6.5112	1.354687	5.045436	0.16026	0.0547802	0.0764428	0.0343546	0.000905122	0.0188739	0.00711111	0.117663	0.0861816	0.0122424	0.0292121	0.112073	0.0370391	0.246719	0.00614216	0.834586	0.165414	0.5216647
828	-420.4116	-426.5604	6.148813	0.0439624	0.032523	0.0353923	0.00666352	0.00187052	0.00805026	0.00134947	0.0374066	0.0285274	0.0461537	0.0293724	0.00286087	0.0102396	0.0159669	0.0429567	0.1141602	1.88584	0.132924	0.373748	0.735618	1.3594	2.6756	7.5231	1.459137	16.51923	0.12806	0.0947375	0.103096	0.0194104	0.00544871	0.0234499	0.00393093	0.108963	0.0830987	0.134443	0.0855601	0.00833354	0.0298273	0.0465108	0.12513	0.94292	0.0570801	0.3432956
864	-420.0781	-425.0764	4.998371	0.0536293	0.0178037	0.0210192	0.0138299	0.000105368	0.00185877	0.00185933	0.0157558	0.00652692	0.0512446	0.0120787	0.00535128	0.00401063	0.00816394	0.0177576	0.09529784	1.904702	0.0540878	0.241062	0.641558	1.55871	4.14831	18.4885	2.109298	19.98684	0.232167	0.077074	0.090994	0.0598709	0.000456149	0.00804681	0.0080492	0.0682084	0.0282557	0.221843	0.05229	0.0231662	0.0173624	0.0353425	0.0768744	0.952351	0.0476489	0.2309951
900	-418.558	-423.9193	5.361288	0.0568349	0.016728	0.0225613	0.00222503	0.000352362	0.0045166	0.000914499	0.0222148	0.0248912	0.0341079	0.0159463	0.00601879	0.00290846	0.00346349	0.0298688	0.1171064	1.882894	0.051212	0.234724	0.636247	1.57172	4.26032	19.5267	2.148802	16.07848	0.233358	0.0686832	0.0926344	0.00913571	0.00144676	0.0185446	0.00375483	0.0912115	0.102201	0.140043	0.065474	0.0247125	0.0119418	0.0142207	0.122638	0.941447	0.0585532	0.2435525
936	-426.0347	-433.5578	7.523036	0.0310542	0.0203466	0.00739339	0.00932719	0.00101756	0.00478753	0.00121763	0.0317496	0.0528341	0.0927089	0.00619838	0.00173129	0.00934592	0.00393379	0.0324005	0.3025676	1.697432	0.0906485	0.3101	0.693998	1.44093	3.22476	11.0316	1.735919	5.610094	0.101469	0.0664819	0.0241577	0.0304764	0.00332484	0.0156431	0.00397857	0.103741	0.172634	0.302924	0.0202531	0.00565695	0.0305376	0.0128536	0.105868	0.848716	0.151284	0.3060466
972	-422.0315	-428.7136	6.682044	0.0245699	0.0163678	0.0204624	0.0195935	0.000970327	0.00321274	0.00273236	0.0172998	0.0100167	0.0119167	0.0066453	0.047009	0.00510394	0.0414269	0.00831721	0.232521	1.767479	0.0620461	0.257753	0.655098	1.52649	3.87968	16.117	2.010042	7.601372	0.104267	0.0694597	0.086836	0.0831485	0.00411776	0.0136338	0.0115953	0.0734148	0.0425077	0.0505706	0.0282005	0.199491	0.0216595	0.175802	0.0352956	0.883739	0.116261	0.2356445
1008	-424.3987	-433.0289	8.630252	0.0789464	0.0378086	0.0111194	0.0147093	0.0113294	0.00230659	0.00283076	0.0130409	0.0836654	0.0972872	0.0202142	0.0206517	0.021944	0.00626362	0.105092	0.4911673	1.508833	0.117744	0.352286	0.72217	1.38472	2.83861	8.49299	1.546819	3.071932	0.149744	0.0717146	0.021091	0.0279002	0.0214893	0.00437508	0.00536932	0.0247356	0.158695	0.184532	0.0383418	0.0391718	0.0416228	0.0118807	0.199337	0.754416	0.245584	0.5272098
1044	-423.5019	-430.8821	7.380233	0.171405	0.0142268	0.0331251	0.0134434	0.00730717	0.00516874	0.00503612	0.0871598	0.0870969	0.0154518	0.055241	0.112193	0.000888894	0.09039	0.00522893	0.1943825	1.805617	0.200267	0.45645	0.782955	1.27721	2.19082	4.99333	1.162769	9.28899	0.243694	0.0202269	0.0470952	0.0191131	0.0103889	0.00734861	0.00716006	0.123919	0.123829	0.0219684	0.0785384	0.159509	0.00126378	0.128511	0.00743418	0.902809	0.0971913	0.703363
1080	-420.8513	-427.0754	6.22409	0.0424714	0.0152908	0.0341992	0.00151006	0.00393703	0.00483039	0.0116409	0.0518806	0.0259467	0.02288	0.0300055	0.0371722	0.0212822	0.0594708	0.0176137	0.1357779	1.864222	0.0923521	0.312929	0.695967	1.43685	3.19561	10.8281	1.722456	13.72994	0.111728	0.0402251	0.0899668	0.00397248	0.010357	0.0127072	0.0306234	0.136481	0.0682571	0.0601898	0.0789344	0.0977876	0.0559865	0.156448	0.0463358	0.932111	0.0678889	0.3801315
1116	-422.9595	-429.2984	6.338903	0.0761174	0.0215778	0.0459623	0.0221355	0.00528321	0.00376369	0.00473381	0.143587	0.091718	0.0103778	0.0314333	0.0657712	0.0234982	0.196562	0.00683015	0.1305013	1.869499	0.129609	0.369173	0.732797	1.36463	2.70875	7.71549	1.477396	14.32552	0.101578	0.0287953	0.0613361	0.0295396	0.00705038	0.0050226	0.00631721	0.191615	0.122397	0.0138491	0.0419473	0.0877709	0.031358	0.262309	0.00911475	0.934749	0.0652507	0.7493514
1152	-419.4517	-424.584	5.132388	0.0238736	0.00735018	0.0111347	0.00535833	0.00017915	0.001832	0.00196959	0.00897451	0.0109477	0.0101386	0.0163957	0.023972	0.0143693	0.0390915	0.00519151	0.1318978	1.868102	0.035289	0.19574	0.601197	1.66335	5.10881	28.3375	2.418076	14.16326	0.13206	0.0406585	0.0615932	0.0296403	0.000990993	0.010134	0.010895	0.0496437	0.0605585	0.0560831	0.0906949	0.132604	0.0794857	0.21624	0.0287176	0.934051	0.0659489	0.1807783
1188	-429.961	-429.3289	-0.6321114	0.0213678	0.00399231	0.00657059	0.000151887	0.000449297	0.00108924	0.00185153	0.00788068	0.00268506	0.00507931	0.00454081	0.00741199	0.000790323	0.00231106	0.00693013	0.0118373	1.988163	0.0268332	0.171261	0.576655	1.73414	5.83903	37.2673	2.616147	167.9574	0.292301	0.0546129	0.0898825	0.00207774	0.00614617	0.0149003	0.025328	0.107804	0.0367303	0.0694824	0.0621161	0.101392	0.0108112	0.0316142	0.0948008	0.994081	0.00591865	0.07310202
1224	-418.1432	-426.2315	8.088318	0.206264	0.028219	0.0913579	0.00785908	0.00472609	0.0141315	0.00425191	0.122189	0.0109716	0.0314318	0.0810676	0.0972969	0.0196172	0.00331778	0.169624	0.3113846	1.688615	0.213475	0.470891	0.790601	1.26486	2.12363	4.6844	1.11659	5.422925	0.231153	0.0316242	0.102382	0.00880741	0.00529638	0.0158368	0.00476498	0.136933	0.0122955	0.0352246	0.0908498	0.109037	0.0219843	0.00371813	0.190092	0.844308	0.155692	0.8923255
1260	-422.2207	-427.9093	5.688553	0.0757273	0.0532339	0.0537725	0.00713488	2.91239e-05	0.00701058	0.00200198	0.0585619	0.0155316	0.0144606	0.0605599	0.0175489	0.0432571	0.0298791	0.0539334	0.1066223	1.893378	0.0765394	0.285541	0.676361	1.4785	3.50213	13.0652	1.858251	17.75781	0.153716	0.108058	0.109151	0.0144829	5.91178e-05	0.0142306	0.00406376	0.118873	0.0315271	0.0293532	0.122929	0.0356219	0.0878063	0.0606507	0.109478	0.946689	0.0533111	0.4926428
1296	-419.7852	-426.3402	6.555028	0.104135	0.0274423	0.0222082	0.00496227	5.60252e-05	0.00714927	0.00975838	0.0546529	0.0224556	0.0140788	0.0578923	0.0106619	0.0425231	0.0395816	0.0401729	0.1663641	1.833636	0.0853306	0.301091	0.687643	1.45424	3.32126	11.7191	1.779633	11.02183	0.227504	0.0599528	0.048518	0.010841	0.000122398	0.0156189	0.021319	0.1194	0.0490585	0.0307577	0.126477	0.0232929	0.0928997	0.0864735	0.0877653	0.916818	0.083182	0.4577308
1332	-418.7818	-426.7333	7.951451	0.030794	0.00282607	0.0487535	0.00353362	0.000948981	0.00307247	0.000366518	0.0572854	0.0162121	0.0412862	0.0821494	0.0212922	0.0370239	0.04099	0.0676581	0.3215414	1.678459	0.124156	0.361514	0.72802	1.37359	2.76614	8.05439	1.508479	5.220038	0.0677995	0.00622218	0.107341	0.00778	0.00208938	0.00676469	0.000806967	0.126126	0.0356943	0.0909002	0.180869	0.0468793	0.081516	0.090248	0.148964	0.839229	0.160771	0.4541924
1368	-423.1349	-431.2787	8.143834	0.210632	0.081114	0.0382847	0.0435307	0.00796317	0.0460632	0.00163636	0.137706	0.0592689	0.14175	0.241925	0.0423928	0.121724	0.188484	0.230979	0.4127228	1.587277	0.37316	0.618318	0.86072	1.16182	1.61729	2.67981	0.7127634	3.845867	0.132186	0.0509045	0.0240263	0.0273185	0.00499743	0.0289078	0.00102693	0.0864201	0.0371952	0.0889579	0.151824	0.0266043	0.0763898	0.118286	0.144955	0.793639	0.206361	1.593453
1404	-417.6825	-426.0016	8.319108	0.0872332	0.00575531	0.0220663	0.00145667	0.0058181	0.00379607	0.000332891	0.0699177	0.0404528	0.0499227	0.0656478	0.0194688	0.0188366	0.0359285	0.0656524	0.3954019	1.604598	0.126834	0.365297	0.730388	1.36913	2.7375	7.88429	1.493045	4.058144	0.1772	0.011691	0.0448242	0.00295899	0.0118185	0.0077111	0.000676215	0.142027	0.0821735	0.10141	0.133353	0.0395478	0.0382636	0.0729829	0.133362	0.802299	0.197701	0.4922859
1440	-417.9164	-425.7939	7.877537	0.0733478	0.0211119	0.035102	0.0134612	0.00243776	0.00776468	0.00321455	0.0249624	0.0276972	0.0151037	0.0882485	0.0321046	0.0257003	0.0426142	0.0938969	0.3048263	1.695174	0.126172	0.364366	0.729806	1.37023	2.7445	7.92569	1.496832	5.561113	0.144737	0.0416599	0.0692665	0.0265628	0.00481042	0.015322	0.00634325	0.0492581	0.0546547	0.0298039	0.17414	0.0633517	0.0507143	0.0840902	0.185286	0.847587	0.152413	0.5067676
1476	-422.9006	-427.5907	4.690041	0.0264986	0.0109872	0.0134358	0.00494363	0.000812081	0.00135494	0.00105416	0.0209164	0.0204532	0.0012392	0.0189634	0.00444218	0.0093204	0.0083234	0.0109362	0.1095899	1.89041	0.0352163	0.195543	0.601009	1.66387	5.11396	28.396	2.419567	17.24986	0.172426	0.0714937	0.0874269	0.0321682	0.0052842	0.00881658	0.00685938	0.136103	0.133089	0.00806344	0.123395	0.0289052	0.0606478	0.0541603	0.0711615	0.945205	0.0547949	0.1536808
1512	-423.8588	-430.4598	6.601008	0.119027	0.0339909	0.0767902	0.00116788	0.00444764	0.00143057	0.000214358	0.0128351	0.0632512	0.0162511	0.0502045	0.0399139	0.0441467	0.0920529	0.0440402	0.1586355	1.841364	0.103986	0.33157	0.708645	1.41114	3.01595	9.6167	1.636667	11.60752	0.198456	0.0566738	0.128034	0.00194723	0.00741566	0.00238522	0.000357404	0.0214003	0.10546	0.0270959	0.0837071	0.0665493	0.0736067	0.153482	0.0734292	0.920682	0.0793178	0.5997639
1548	-422.3188	-430.5674	8.248541	0.0529744	0.015447	0.0257883	0.0126403	0.000337589	0.00494448	0.00516133	0.0225467	0.0250381	0.0186976	0.056636	0.0108539	0.00501837	0.0302194	0.0402337	0.5117082	1.488292	0.0702292	0.273806	0.667564	1.49798	3.65221	14.2391	1.920465	2.908477	0.162231	0.0473055	0.0789751	0.0387103	0.00103384	0.0151422	0.0158062	0.0690478	0.0766778	0.0572603	0.173444	0.0332394	0.0153685	0.0925449	0.123213	0.744146	0.255854	0.3265372
1584	-422.9857	-427.3732	4.387575	0.0444157	0.0229244	0.0197151	0.0100782	0.000130019	0.00462448	0.000115144	0.0323911	0.0202496	0.000197201	0.0514546	0.0086083	0.0173471	0.0851184	0.0188479	0.0697706	1.930229	0.0413618	0.211501	0.615899	1.62364	4.72811	24.1769	2.303262	27.66537	0.132104	0.0681834	0.058638	0.0299752	0.000386712	0.0137544	0.00034247	0.0963399	0.0602276	0.000586528	0.15304	0.0256034	0.051595	0.253165	0.0560588	0.965115	0.0348853	0.3362174
1620	-419.5511	-424.4858	4.934712	0.169753	0.0461228	0.0407413	0.00851021	0.000132032	0.00469514	2.79854e-05	0.101166	0.0100486	0.00638912	0.0418648	0.0524078	0.0151908	0.103814	0.0483069	0.06534689	1.934653	0.100195	0.325619	0.704652	1.41914	3.07107	9.98053	1.663518	29.6059	0.261492	0.0710489	0.062759	0.0131094	0.000203385	0.00723252	4.31094e-05	0.15584	0.0154791	0.00984198	0.0644898	0.0807303	0.0234003	0.159918	0.0744133	0.967327	0.0326734	0.6491705
1656	-422.819	-426.7428	3.923735	0.0439613	0.00682836	0.0221481	0.00519774	0.00023519	0.0038363	4.30463e-05	0.0207483	0.00347704	0.00388984	0.0187955	0.0157703	0.0031779	0.0265081	0.0146982	0.0590373	1.940963	0.0499398	0.231862	0.633816	1.57775	4.31292	20.0241	2.166992	32.87689	0.232212	0.0360687	0.116991	0.0274555	0.00124232	0.0202641	0.000227379	0.109597	0.0183664	0.0205469	0.0992815	0.083302	0.0167863	0.140021	0.0776386	0.970481	0.0295186	0.1893152
1692	-418.9048	-424.7465	5.84176	0.0338374	0.00500141	0.00538316	0.00208642	0.0010093	0.0028561	0.000187216	0.0554833	0.0036617	0.00966743	0.021672	0.0159865	0.00242746	0.0449953	0.0100895	0.1646367	1.835363	0.04753	0.226336	0.629064	1.58966	4.41821	21.0394	2.202754	11.14796	0.157865	0.0233335	0.0251146	0.00973398	0.0047088	0.0133248	0.000873434	0.258852	0.0170833	0.0451023	0.101108	0.0745832	0.0113251	0.209921	0.0470715	0.917682	0.0823183	0.2143442
1728	-422.6068	-427.2816	4.674863	0.0779844	0.00647895	0.0475879	0.0022043	0.000197046	0.00551175	0.00115225	0.0467569	0.0159652	0.00764087	0.0377377	0.0131449	0.0381303	0.0995824	0.0552278	0.05736499	1.942635	0.0944925	0.316445	0.698397	1.43185	3.1601	10.5828	1.705889	33.86447	0.17128	0.01423	0.104519	0.0048414	0.00043278	0.0121057	0.00253073	0.102694	0.0350651	0.0167819	0.0828849	0.0288708	0.083747	0.218717	0.121299	0.971318	0.0286825	0.4553027
1764	-419.4519	-426.3895	6.937612	0.0500384	0.00567303	0.016048	0.0038542	0.000611256	0.011711	0.00926461	0.0847745	0.0202816	0.0754719	0.0588204	0.0168738	0.025631	0.00841179	0.0171072	0.1801469	1.819853	0.122466	0.359107	0.726504	1.37646	2.78469	8.1655	1.518385	10.10205	0.123682	0.0140223	0.0396666	0.00952659	0.00151087	0.0289467	0.0228997	0.209541	0.050131	0.186547	0.145389	0.0417078	0.0633531	0.0207918	0.0422846	0.909927	0.0900734	0.4045729
