Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-423.2157	-428.5291	5.31337	0.015875	0.00545169	0.0139333	4.05282e-05	0.000759636	0.00214084	0.0029864	0.00761573	0.00421025	0.0111029	0.0301347	0.0170514	0.0119291	0.00294782	0.0101574	0.1526413	1.847359	0.0414247	0.211658	0.616042	1.62327	4.72461	24.1402	2.302164	12.10261	0.11644	0.039987	0.102198	0.000297266	0.00557177	0.0157026	0.0219046	0.0558597	0.0308813	0.0814374	0.221031	0.125068	0.0874973	0.0216216	0.0745024	0.923679	0.0763207	0.1363366
36	-418.9415	-426.7748	7.833283	0.0739403	0.0546679	0.0689871	0.0232171	0.0031191	0.00478875	0.00773348	0.0736273	0.0132774	0.0217872	0.127083	0.0401261	0.00645194	0.0323402	0.0813718	0.3029205	1.69708	0.125505	0.363424	0.729218	1.37133	2.7516	7.96783	1.500666	5.602393	0.116898	0.086429	0.109067	0.0367058	0.00493124	0.00757092	0.0122265	0.116403	0.0209914	0.0344451	0.200915	0.0634387	0.0102004	0.0511292	0.128647	0.84854	0.15146	0.6325184
72	-427.6043	-433.9078	6.303501	0.0736161	0.0387274	0.0670216	0.0227597	0.00546641	0.00445862	0.00901635	0.0715041	0.0444266	0.0239621	0.00440118	0.0234476	0.134417	0.011916	0.0671234	0.1386267	1.861373	0.0958214	0.318608	0.699883	1.42881	3.13865	10.4361	1.695791	13.42723	0.122232	0.064303	0.111283	0.0377902	0.00907644	0.00740311	0.0149708	0.118726	0.073766	0.0397867	0.00730773	0.0389324	0.223186	0.0197853	0.111452	0.930687	0.0693134	0.6022638
108	-421.1636	-428.4757	7.312131	0.0704718	0.0197198	0.00661026	0.00704191	0.00231168	0.0054721	0.000648941	0.0379417	0.0494223	0.0278984	0.0150409	0.0201956	0.0424816	0.0083411	0.0373803	0.2811449	1.718855	0.0753078	0.283291	0.674693	1.48215	3.52994	13.2788	1.86998	6.11377	0.200787	0.0561851	0.0188338	0.0200636	0.00658638	0.015591	0.00184895	0.108103	0.140813	0.0794875	0.0428541	0.0575408	0.121038	0.0237653	0.106503	0.859428	0.140572	0.3509783
144	-431.7019	-438.6635	6.961618	0.138773	0.0221857	0.0261515	0.000300539	0.0116244	0.000491661	0.0168404	0.0347998	0.0446465	0.0587559	0.0830845	0.107207	0.145572	0.0117192	0.0207732	0.2027075	1.797293	0.103233	0.330397	0.707862	1.41271	3.02666	9.68683	1.641921	8.866435	0.191961	0.0306887	0.0361746	0.000415726	0.0160796	0.0006801	0.0232948	0.0481375	0.0617581	0.0812753	0.114928	0.148296	0.201365	0.0162108	0.0287349	0.898646	0.101354	0.7229249
180	-420.9131	-428.5928	7.679699	0.262429	0.075955	0.195109	0.0177989	0.00350839	0.0276688	0.00629316	0.119793	0.0303703	0.00930811	0.0560095	0.0445567	0.237492	0.0445814	0.12708	0.2707387	1.729261	0.287558	0.544526	0.827261	1.20881	1.83646	3.47756	0.9011834	6.387197	0.208616	0.0603798	0.1551	0.0141491	0.00278897	0.0219951	0.00500269	0.0952288	0.0241426	0.0073994	0.0445243	0.03542	0.188792	0.0354396	0.101021	0.864631	0.135369	1.257954
216	-417.7194	-425.9214	8.201949	0.170873	0.0477167	0.10687	0.0098675	0.00799106	0.0161398	0.00658413	0.0746842	0.0384492	0.0557666	0.019505	0.115961	0.275559	0.032977	0.15627	0.3213324	1.678668	0.325801	0.578717	0.843128	1.18606	1.72796	3.06936	0.8108982	5.224084	0.150521	0.0420332	0.0941407	0.0086922	0.00703926	0.0142174	0.0057999	0.0657887	0.0338696	0.0491243	0.0171818	0.102149	0.242737	0.0290492	0.137657	0.839334	0.160666	1.135214
252	-425.5182	-431.4363	5.918103	0.0845252	0.0342616	0.00940967	0.0115855	0.00726471	0.0115046	0.000214895	0.0288083	0.029428	0.0137694	0.0178889	0.0478362	0.106211	0.00442958	0.0494605	0.1168778	1.883122	0.0840172	0.298821	0.686022	1.45768	3.34648	11.9023	1.790849	16.11189	0.185119	0.0750366	0.0206082	0.0253736	0.0159105	0.0251963	0.000470644	0.0630934	0.0644505	0.0301564	0.0391786	0.104767	0.232614	0.00970126	0.108324	0.941561	0.0584389	0.4565982
288	-420.4014	-427.2729	6.871453	0.0457942	0.02517	0.0211453	0.00893306	0.00202966	0.00586922	0.00435817	0.0631921	0.015035	0.0072265	0.155057	0.011676	0.0241868	0.0537628	0.0590479	0.1681088	1.831891	0.128221	0.36724	0.731598	1.36687	2.72302	7.79902	1.485182	10.89706	0.0911358	0.0500911	0.0420817	0.0177778	0.00403926	0.0116804	0.00867327	0.12576	0.0299214	0.0143816	0.30858	0.0232366	0.0481346	0.106994	0.117512	0.915946	0.0840544	0.5024833
324	-421.2249	-428.7156	7.490628	0.169482	0.00717803	0.0620381	0.00245571	0.00107651	0.00707989	0.0137258	0.218059	0.060844	0.0524072	0.130115	0.0951599	0.0155441	0.0804667	0.0979913	0.2345696	1.76543	0.212641	0.469993	0.79013	1.26561	2.12769	4.70276	1.119419	7.526254	0.167204	0.00708156	0.0612043	0.0024227	0.00106204	0.00698474	0.0135414	0.215128	0.0600263	0.0517028	0.128367	0.093881	0.0153352	0.0793852	0.0966743	0.882715	0.117285	1.013623
