Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-421.4103	-426.0678	4.657527	0.0222061	0.000415951	0.00627283	0.000832793	0.00138464	0.000433973	0.000491122	0.00703221	0.00685908	0.00533054	0.0172909	0.0047685	0.00702554	0.017664	0.00620582	0.1654682	1.834532	0.0182491	0.141907	0.543802	1.83891	7.04689	54.7973	2.894908	11.08691	0.213081	0.00399132	0.0601919	0.00799118	0.0132865	0.00416425	0.00471263	0.0674786	0.0658172	0.05115	0.165917	0.0457568	0.0674145	0.169498	0.0595488	0.917266	0.0827341	0.104214
36	-416.049	-422.9629	6.913811	0.125452	0.0018854	0.0744724	0.00276787	0.000417973	0.0101844	0.00546978	0.0915196	0.0123465	0.0103825	0.110494	0.0258494	0.0368978	0.121324	0.0422457	0.1702278	1.829772	0.141004	0.384661	0.742253	1.34725	2.59969	7.09199	1.416468	10.74896	0.186765	0.00280687	0.11087	0.00412063	0.000622253	0.015162	0.00814308	0.136249	0.0183807	0.0154569	0.164496	0.038483	0.0549313	0.18062	0.0628929	0.914886	0.0851139	0.6717093
72	-422.7962	-431.2257	8.429498	0.159351	0.038865	0.06556	0.00578749	0.016208	0.00761739	0.00755918	0.138144	0.0164955	0.0483734	0.118815	0.0569961	0.0635548	0.0693103	0.0832733	0.3726447	1.627355	0.226281	0.484463	0.79764	1.2537	2.06414	4.41928	1.074464	4.367043	0.177865	0.0433804	0.0731769	0.00645989	0.0180911	0.0085024	0.00843742	0.154194	0.018412	0.0539936	0.13262	0.063618	0.0709388	0.077363	0.0929483	0.813678	0.186322	0.8959106
108	-424.6417	-432.8401	8.19838	0.0770372	0.0216682	0.0127906	0.016346	0.0200643	0.00401408	0.000196785	0.0304545	0.0288407	0.0257324	0.0434953	0.0393366	0.0580651	0.0319245	0.0731917	0.370613	1.629387	0.124859	0.362511	0.728646	1.37241	2.75854	8.00904	1.504396	4.396464	0.159445	0.044847	0.026473	0.0338315	0.0415274	0.00830801	0.00040729	0.0630322	0.059692	0.0532588	0.0900229	0.0814156	0.120178	0.0660746	0.151486	0.814693	0.185307	0.4831579
144	-422.261	-429.4265	7.165501	0.131651	0.0543537	0.0375198	0.000500661	0.00310722	0.00269662	0.00664711	0.0940255	0.141334	0.0804907	0.0539399	0.00142588	0.145585	0.0301028	0.0167825	0.1637878	1.836212	0.245481	0.504092	0.807586	1.23826	1.98376	4.07364	1.015576	11.21092	0.164531	0.0679283	0.0468901	0.000625699	0.00388324	0.00337009	0.0083072	0.117508	0.176631	0.100593	0.0674112	0.00178199	0.181945	0.0376209	0.0209739	0.918106	0.0818939	0.800163
180	-418.9823	-426.7607	7.778394	0.0649525	0.0278702	0.0561174	0.00245591	0.00178627	0.00881191	0.000915183	0.0367292	0.0466007	0.0426139	0.0325945	0.000295146	0.0957552	0.0347064	0.0174575	0.3118769	1.688123	0.10456	0.332462	0.709238	1.40996	3.00786	9.5639	1.632686	5.412786	0.138296	0.0593409	0.119485	0.00522911	0.00380332	0.0187622	0.0019486	0.0782036	0.0992219	0.0907332	0.0694	0.000628422	0.203881	0.0738965	0.0371703	0.844062	0.155938	0.469662
216	-423.1632	-431.5136	8.35039	0.10176	0.036251	0.0242386	0.0238703	0.0210749	0.0181297	0.00305937	0.0789178	0.0236104	0.133548	0.0106807	0.0554972	0.0289172	0.0706905	0.0794027	0.3133494	1.686651	0.250338	0.508932	0.809997	1.23457	1.9649	3.9946	1.001409	5.382652	0.143395	0.0510831	0.0341558	0.0336368	0.0296977	0.0255474	0.00431111	0.111207	0.0332706	0.188189	0.0150506	0.0782037	0.0407486	0.0996134	0.11189	0.843325	0.156675	0.7096484
252	-421.7411	-427.5872	5.846189	0.04668	0.018808	0.0223191	0.029515	0.000584925	0.00717755	0.00239305	0.0155098	0.0122433	0.0639052	0.00685574	0.0169183	0.00824891	0.00948449	0.0325214	0.1144225	1.885577	0.0941774	0.31593	0.698042	1.43258	3.16526	10.6183	1.708305	16.47908	0.159228	0.0641549	0.0761315	0.100677	0.00199521	0.024483	0.00816281	0.0529046	0.0417624	0.217984	0.0233853	0.0577092	0.0281374	0.0323521	0.110932	0.942789	0.0572113	0.2931648
288	-417.7298	-425.7253	7.995467	0.0642765	0.00448377	0.02561	0.00932327	5.72097e-05	0.0021587	0.00520343	0.0261623	0.00539403	0.0736024	0.012465	0.00716022	0.0116178	0.0186322	0.0514396	0.4311212	1.568879	0.0749465	0.282627	0.6742	1.48324	3.53824	13.3429	1.873458	3.639067	0.202391	0.0141183	0.0806395	0.0293566	0.000180139	0.00679722	0.0163843	0.0823785	0.0169845	0.231755	0.0392491	0.0225457	0.0365815	0.0586682	0.16197	0.784439	0.215561	0.3175864
324	-422.8986	-430.2131	7.314474	0.0522005	0.0243056	0.0532362	0.00785119	0.00816017	0.0070003	0.00126694	0.0697435	0.0380568	0.0761384	0.0135476	0.00349306	0.0705714	0.0321483	0.0873791	0.2162702	1.78373	0.130304	0.370138	0.733394	1.36352	2.7017	7.67434	1.473529	8.247692	0.0957634	0.0445894	0.0976633	0.0144032	0.0149701	0.0128423	0.00232424	0.127947	0.0698163	0.139678	0.0248534	0.00640811	0.129465	0.0589769	0.160299	0.891865	0.108135	0.5450991
360	-420.2067	-427.5862	7.379477	0.115948	0.00815312	0.0677267	0.0327123	0.00739008	0.0121647	0.000572952	0.061038	0.0417034	0.0571559	0.0276156	0.116124	0.0452184	0.00560123	0.155242	0.2019219	1.798078	0.190988	0.446011	0.777324	1.28646	2.2421	5.23592	1.197072	8.90482	0.153703	0.0108079	0.0897795	0.043364	0.00979641	0.0161257	0.000759514	0.0809129	0.0552826	0.0757668	0.0366077	0.153936	0.0599422	0.00742507	0.205791	0.899039	0.100961	0.7543667
